District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Worker Population Person,Main Cultivator Population Person,Main Agricultural Labourers Population Person,Main Household Industries Population Person,Main Other Workers Population Person,Marginal Cultivator Population Person,Marginal Agriculture Labourers Population Person,Marginal Household Industries Population Person,Marginal Other Workers Population Person,Non Working Population Person
Nagpur,VILLAGE,Ghogra,Rural,204,932,577,230,241,9,14,2,30,4,47,355
Nagpur,VILLAGE,Junewani,Rural,23,111,63,13,46,0,2,0,2,0,0,48
Nagpur,VILLAGE,Sonegaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Lohara,Rural,136,555,273,65,182,0,15,9,1,0,1,282
Nagpur,VILLAGE,Sawanga (Lohari),Rural,776,3235,1565,400,814,25,118,40,129,7,32,1670
Nagpur,VILLAGE,Kharala,Rural,167,648,395,148,213,0,17,2,13,0,2,253
Nagpur,VILLAGE,Jatlapur,Rural,35,152,99,37,58,0,4,0,0,0,0,53
Nagpur,VILLAGE,Kharashi,Rural,48,219,125,39,84,0,1,0,1,0,0,94
Nagpur,VILLAGE,Gumgaon,Rural,94,365,229,26,202,0,1,0,0,0,0,136
Nagpur,VILLAGE,Salai,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Agra,Rural,306,1254,691,181,394,3,52,15,38,2,6,563
Nagpur,CD BLOCK,Katol,Rural,27844,120541,64555,16759,32637,650,6995,1475,5102,132,805,55986
Nagpur,VILLAGE,Mukani,Rural,55,229,141,112,22,0,7,0,0,0,0,88
Nagpur,VILLAGE,Rajni,Rural,145,532,363,108,133,7,9,55,41,4,6,169
Nagpur,VILLAGE,Khamli,Rural,152,601,343,148,48,4,6,100,33,3,1,258
Nagpur,VILLAGE,Nanda,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Sonoli,Rural,381,1572,856,358,247,25,73,24,120,2,7,716
Nagpur,VILLAGE,Gollarkhapa,Rural,60,266,171,37,117,0,10,1,3,1,2,95
Nagpur,VILLAGE,Tapani,Rural,147,620,343,124,168,1,28,1,20,0,1,277
Nagpur,VILLAGE,Bid Jatamzari,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Jatamzari,Rural,89,408,233,36,5,0,6,2,180,0,4,175
Nagpur,VILLAGE,Panjra,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Gondimohgaon,Rural,309,1359,852,266,569,1,5,2,9,0,0,507
Nagpur,VILLAGE,Gondikhapa,Rural,93,408,250,66,43,0,7,1,130,2,1,158
Nagpur,VILLAGE,Zilpa,Rural,472,2038,1156,359,569,9,46,35,134,0,4,882
Nagpur,VILLAGE,Bori,Rural,123,506,219,58,156,1,3,0,1,0,0,287
Nagpur,VILLAGE,Mendki,Rural,353,1476,808,223,338,2,38,1,205,0,1,668
Nagpur,VILLAGE,Pardi,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Gondidigras,Rural,295,1278,804,242,349,7,22,138,46,0,0,474
Nagpur,VILLAGE,Dorli (Bhandwalkar),Rural,220,901,512,290,168,0,29,5,14,0,6,389
Nagpur,VILLAGE,Masli,Rural,395,1497,863,288,474,7,48,11,29,1,5,634
Nagpur,VILLAGE,Babulkheda,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Wandli (Kh),Rural,178,726,368,187,149,1,16,4,10,0,1,358
Nagpur,VILLAGE,Kalambha,Rural,308,1238,748,381,341,1,10,5,9,1,0,490
Nagpur,VILLAGE,Mohkhedi,Rural,84,347,170,73,66,4,20,1,5,0,1,177
Nagpur,VILLAGE,Yenwa,Rural,514,2138,1054,513,380,14,74,11,49,2,11,1084
Nagpur,VILLAGE,Yerla (Dhote),Rural,351,1351,847,167,571,8,84,3,8,3,3,504
Nagpur,VILLAGE,Isasani,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Wadvihara,Rural,91,350,177,49,111,1,12,1,1,0,2,173
Nagpur,VILLAGE,Digras (Bk),Rural,367,1532,878,150,663,3,34,17,10,0,1,654
Nagpur,VILLAGE,Harankhuri,Rural,77,325,168,50,116,0,0,0,2,0,0,157
Nagpur,VILLAGE,Panwadi,Rural,199,952,523,158,337,2,18,3,5,0,0,429
Nagpur,VILLAGE,Delwadi,Rural,3,7,6,1,5,0,0,0,0,0,0,1
Nagpur,VILLAGE,Sirsawadi,Rural,198,802,462,93,337,8,20,1,3,0,0,340
Nagpur,VILLAGE,Khanwadi,Rural,2,4,4,0,4,0,0,0,0,0,0,0
Nagpur,VILLAGE,Wadhona (Lodhi),Rural,193,861,523,162,347,2,11,0,1,0,0,338
Nagpur,VILLAGE,Karla,Rural,111,447,209,86,106,0,15,1,1,0,0,238
Nagpur,VILLAGE,Salai (Bk),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Gonhi,Rural,196,906,432,146,204,8,51,3,18,0,2,474
Nagpur,VILLAGE,Chikhali Bk.,Rural,134,567,289,74,165,0,37,6,1,0,6,278
Nagpur,VILLAGE,Isapur(Bk),Rural,142,616,207,82,111,1,10,1,1,0,1,409
Nagpur,VILLAGE,Khairi (Navghare),Rural,61,258,110,28,81,0,1,0,0,0,0,148
Nagpur,VILLAGE,Isapur (Kh),Rural,277,1132,685,116,532,2,26,2,6,0,1,447
Nagpur,VILLAGE,Gangaldoh,Rural,86,363,232,34,153,1,5,34,5,0,0,131
Nagpur,VILLAGE,Mhaskhapra,Rural,58,262,166,135,25,0,1,4,1,0,0,96
Nagpur,VILLAGE,Malegaon,Rural,96,375,239,141,92,1,4,0,1,0,0,136
Nagpur,VILLAGE,Chendkapur,Rural,83,342,231,196,33,0,0,1,1,0,0,111
Nagpur,VILLAGE,Randhoda,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Sonkhamb,Rural,224,974,539,204,213,1,91,3,25,0,2,435
Nagpur,VILLAGE,Lakholi,Rural,48,218,97,53,24,0,18,0,2,0,0,121
Nagpur,VILLAGE,Kohala,Rural,143,602,356,149,180,2,15,0,1,6,3,246
Nagpur,VILLAGE,Dhawalapur,Rural,390,1687,957,266,451,12,76,46,82,3,21,730
Nagpur,VILLAGE,Bramhapuri,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Ajangaon,Rural,206,915,568,30,389,4,11,21,109,3,1,347
Nagpur,VILLAGE,Mohgaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Chargaon,Rural,164,694,401,144,199,2,53,0,2,0,1,293
Nagpur,VILLAGE,Dorli (Kh),Rural,203,886,493,132,224,2,112,4,18,0,1,393
Nagpur,VILLAGE,Dorli (Bk),Rural,273,1495,565,67,156,7,86,31,203,1,14,930
Nagpur,VILLAGE,Ubagi,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Tarabodi,Rural,65,317,164,29,103,1,31,0,0,0,0,153
Nagpur,VILLAGE,Metpanjara,Rural,249,1011,548,131,143,5,160,7,60,3,39,463
Nagpur,VILLAGE,Mendhepathar,Rural,230,970,638,131,275,1,59,54,107,1,10,332
Nagpur,VILLAGE,Hatla,Rural,207,911,510,252,207,0,44,5,0,0,2,401
Nagpur,VILLAGE,Khapari (Kh),Rural,28,135,82,43,36,0,0,3,0,0,0,53
Nagpur,VILLAGE,Kondhasaoli,Rural,252,1153,657,204,277,4,45,18,103,1,5,496
Nagpur,VILLAGE,Sonmoh,Rural,18,73,39,14,24,0,1,0,0,0,0,34
Nagpur,VILLAGE,Wajbodi,Rural,113,478,263,94,129,0,14,5,19,0,2,215
Nagpur,VILLAGE,Yenvihira,Rural,18,72,51,0,6,0,45,0,0,0,0,21
Nagpur,VILLAGE,Raulgaon,Rural,219,939,422,129,178,1,47,3,36,0,28,517
Nagpur,VILLAGE,Kotwalbardi,Rural,129,582,337,148,97,0,62,11,18,0,1,245
Nagpur,VILLAGE,Ghorpad,Rural,4,19,14,0,14,0,0,0,0,0,0,5
Nagpur,VILLAGE,Murli,Rural,40,186,122,20,95,0,7,0,0,0,0,64
Nagpur,VILLAGE,Bhudakmadka,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Maragsur,Rural,110,455,278,30,34,2,9,8,189,2,4,177
Nagpur,VILLAGE,Chikhali (Malode),Rural,157,716,430,179,160,0,31,37,20,1,2,286
Nagpur,VILLAGE,Wai (Kh),Rural,223,1011,637,258,153,1,48,59,74,0,44,374
Nagpur,VILLAGE,Wai (Bk),Rural,19,74,40,15,24,0,1,0,0,0,0,34
Nagpur,VILLAGE,Alagondi,Rural,30,109,71,14,2,1,4,0,49,0,1,38
Nagpur,VILLAGE,Chaukigad,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Kalmunda,Rural,29,122,74,28,36,2,1,1,5,0,1,48
Nagpur,VILLAGE,Shekapur,Rural,85,372,235,36,138,2,16,9,33,1,0,137
Nagpur,VILLAGE,Garamsur,Rural,158,775,399,55,284,18,25,4,11,0,2,376
Nagpur,VILLAGE,Katlabodi,Rural,103,443,294,4,250,3,34,0,1,0,2,149
Nagpur,VILLAGE,Dhankundav,Rural,17,88,61,9,51,0,1,0,0,0,0,27
Nagpur,VILLAGE,Mandala,Rural,2,11,6,0,6,0,0,0,0,0,0,5
Nagpur,VILLAGE,Paradsinga,Rural,1287,5088,2721,459,1324,35,419,106,304,14,60,2367
Nagpur,VILLAGE,Lamdham,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Khangaon,Rural,352,1480,808,183,463,0,76,17,69,0,0,672
Nagpur,VILLAGE,Chichala,Rural,29,134,42,22,20,0,0,0,0,0,0,92
Nagpur,VILLAGE,Naigaon,Rural,93,414,205,11,192,0,2,0,0,0,0,209
Nagpur,VILLAGE,Dongargaon,Rural,199,845,438,64,253,1,93,2,18,3,4,407
Nagpur,VILLAGE,Bhajipani,Rural,51,208,144,22,109,0,1,1,11,0,0,64
Nagpur,VILLAGE,Pathar,Rural,57,247,179,11,149,0,1,1,16,0,1,68
Nagpur,VILLAGE,Bordoh,Rural,77,320,222,28,170,0,5,0,18,1,0,98
Nagpur,VILLAGE,Pardi (Gotmare),Rural,109,459,246,82,143,2,17,1,0,0,1,213
Nagpur,VILLAGE,Borgondi,Rural,36,138,87,14,67,0,6,0,0,0,0,51
Nagpur,VILLAGE,Amnergondi,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Dhiwarwadi,Rural,21,76,39,3,22,0,14,0,0,0,0,37
Nagpur,VILLAGE,Fetri,Rural,159,728,368,35,322,3,6,0,1,0,1,360
Nagpur,VILLAGE,Kolambi,Rural,127,553,293,49,95,1,20,8,116,0,4,260
Nagpur,VILLAGE,Junewani,Rural,109,438,263,129,91,5,35,2,0,1,0,175
Nagpur,VILLAGE,Pandhardhakani,Rural,38,154,94,13,77,0,0,0,4,0,0,60
Nagpur,VILLAGE,Mohgaon (Jangli),Rural,18,65,40,11,29,0,0,0,0,0,0,25
Nagpur,VILLAGE,Chaurepathar,Rural,53,200,141,16,121,0,2,0,2,0,0,59
Nagpur,VILLAGE,Khadki,Rural,40,157,104,28,70,0,1,0,5,0,0,53
Nagpur,VILLAGE,Jatamkohala,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Ambada (sonak),Rural,172,780,432,76,322,13,15,0,5,0,1,348
Nagpur,VILLAGE,Khandala (Kh),Rural,265,1278,702,163,431,9,82,2,7,1,7,576
Nagpur,VILLAGE,Wandli (Bk),Rural,137,556,305,9,281,0,10,2,2,0,1,251
Nagpur,VILLAGE,Saoli (Kh),Rural,115,513,227,13,33,2,58,4,63,0,54,286
Nagpur,VILLAGE,Linga,Rural,142,583,323,90,147,2,64,7,1,0,12,260
Nagpur,VILLAGE,Panjra (Bk),Rural,139,544,278,90,150,4,27,2,4,1,0,266
Nagpur,VILLAGE,Saoli (Bk),Rural,82,356,172,16,133,1,20,0,0,0,2,184
Nagpur,VILLAGE,Ridhora,Rural,842,3595,2058,437,1088,27,285,36,138,2,45,1537
Nagpur,VILLAGE,Borgaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Gharatwada,Rural,273,1205,685,164,430,0,82,3,6,0,0,520
Nagpur,VILLAGE,Gujarkhedi,Rural,19,86,53,1,51,0,0,0,1,0,0,33
Nagpur,VILLAGE,Waghoda,Rural,130,566,296,26,237,0,4,11,18,0,0,270
Nagpur,VILLAGE,Ladgaon,Rural,373,1698,849,131,601,5,90,4,11,1,6,849
Nagpur,VILLAGE,Parsodi,Rural,163,677,397,7,376,2,4,3,3,0,2,280
